Colegio-Estudiante,School,APre1_2,%_veracidad_1,APre3,%_veracidad_3,APre4,%_veracidad_4,BPre1_2,%_veracidad_1_b,BPre3,%_veracidad_3_b,BPre4,%_veracidad_3_b
ColPi1,Pil,"diferentes formas de nacer 

huevos externa 

reproducción interna ",0.75,0,0,0,0.00%,dentro de la mamá oviparos ,0.5,esconden los huevos para protegerlos cocodrilos ,1,avestruz tiburón cebra tiburón blanco ,0
CoPi2,Pil,"se reproducen en huevo afuera 
 

pueden salir dentro de la mamá que son ovíparos 
",0.75,algunos peces esconden sus huevos para protegerlos como las tortugas y el cocodrilo ,1,tiburón cebra y tiburón blanco ,0.00%,dentro de la mamá o en huevos ,1,para proteger sus huevos del peligro ,1,los huevos del pez los dejan en el agua y los de las aves los dejan en la superficie ,0.5
ColPi3,Pil,"reproducción huevo afuera 
 

dentro de la mamá ovíparos ",0.75,esconde los huevos para protegerlos cocodrilos carnívoros y herbívoros ,1,Avestruz tiburón cebra tiburón blanco ,0.00%,"huevos externa, reproducción interna ",1,para que no se lo coman los depredadores ,1,"los huevos de las gallinas son de color blanco y ovalados, los huevos de pescado son redondos y son de diferentes colores",1
ColPi4,Pil,"los peces pueden salir del agua 
el tiburón cebra nace dentro de la madre 
los peces pueden ser carnívoros o herbívoros 

los peces se pueden reproducir dentro de la madre ",0.5,las tortugas esconden sus huevos para que no se los coman ,1,0,0.00%,hay dos tipos de reproducciones el de dentro de la madre y afuera de la madre ,1,para protegerlos de los carnívoros ,0.75,que son voladores y los otros del mar ,0
ColPi5,Pil,"reproducción huevos afuera 

Acuáticos 

pueden salir del agua 

dentro de la mamá ovíparo",0.75,"Esconden los huevos para protegerlos los cocodrilos 
",1,avestruz tiburón cebra tiburón blanco,0.00%,Reproducción interna ,0.5,0,0,0,0
ColPi6,Pil,"los peces pueden ser carnívoros también pueden ser herbívoros 
pueden salir del agua 
",0,"
las tortugas esconden sus huevos para protegerlos ",1,"avestruz tiburón cebra tiburón blanco 
",0.00%,"Hay dos tipos, dentro de la madre y fuera ",0.75,para que no se los coman ,1,que son voladores y los otros del mar ,0
ColPi7,Pil,reproducción huevos afuera ,0.5,0,0,0,0.00%,Nacen de la panza de la mamá ,0.5,para protegerlos ,1,porque los huevos de los peces son pequeños y de las aves son más grandes ,0.5
ColPi8,Pil,"la reproducción con huevos 

tiburón blanco tiene los huevos dentro ",0.5,esconden los huevos para esconderlos ,1,0,0.00%,"huevos externa, reproducción interna ",0.75,para que se los coman ,1,que vuelan y no y tiene una Concha ,0
ColPi9,Pil,"se reproducen afuera de la mamá o dentro de la mamá 
Los tiburones tienen sus bebés afuera 
",0.5,esconden los huevos para protegerlos,1,0,0.00%,"Dos tipos de reproducciones ,Por huevos o en la panza ",0.75,los protegen de que se los coman ,1,las aves ponen huevos los ponen en las montañas y los peces los ponen en la playa ,0.25
ColPi10,Pil,"caballitos del mar el macho lleva los bebés 

reproducción huevos afuera  

dentro de la mamá ,ovíparos ",0.75,esconden los huevos para protegerlos ,1,avestruz tiburón cebra tiburón blanco ,0.00%,"por los papás 

dos tipos ",0.5,para protegerlos ,1,que los peces nacen en el agua y las aves en la tierra ,0.5
